1,160721_vw_extended,GOXst1,1A12,1,7/12/2017 13:29
2,160721_vw_extended,GOXst2,1B12,1,7/12/2017 13:41
3,160721_vw_extended,GOXst3,1C12,1,7/12/2017 13:53
4,160721_vw_extended,GOXst4,1D12,1,7/12/2017 14:05
5,160721_vw_extended,throwaway,1H11,1,7/12/2017 14:17
6,160721_vw_extended,GOXQC1,1A10,1,7/12/2017 14:29
7,160721_vw_extended,115,1A1,1,7/12/2017 14:41
8,160721_vw_extended,116,1B1,1,7/12/2017 14:53
9,160721_vw_extended,117,1C1,1,7/12/2017 15:05
10,160721_vw_extended,118,1D1,1,7/12/2017 15:17
11,160721_vw_extended,119,1.00E+01,1,7/12/2017 15:29
12,160721_vw_extended,120,1F1,1,7/12/2017 15:41
13,160721_vw_extended,121,1G1,1,7/12/2017 15:53
14,160721_vw_extended,122,1H1,1,7/12/2017 16:05
15,160721_vw_extended,GOXQC2,1B10,1,7/12/2017 16:17
16,160721_vw_extended,123,1A2,1,7/12/2017 16:29
17,160721_vw_extended,124,1B2,1,7/12/2017 16:41
18,160721_vw_extended,125,1C2,1,7/12/2017 16:53
19,160721_vw_extended,126,1D2,1,7/12/2017 17:05
20,160721_vw_extended,127,1.00E+02,1,7/12/2017 17:17
21,160721_vw_extended,128,1F2,1,7/12/2017 17:29
22,160721_vw_extended,129,1G2,1,7/12/2017 17:41
23,160721_vw_extended,130,1H2,1,7/12/2017 17:53
24,160721_vw_extended,GOXQC3,1C10,1,7/12/2017 18:05
25,160721_vw_extended,131,1A3,1,7/12/2017 18:17
26,160721_vw_extended,132,1B3,1,7/12/2017 18:29
27,160721_vw_extended,133,1C3,1,7/12/2017 18:41
28,160721_vw_extended,1tAQC,1D3,1,7/12/2017 18:53
29,160721_vw_extended,134,1.00E+03,1,7/12/2017 19:05
30,160721_vw_extended,135,1F3,1,7/12/2017 19:17
31,160721_vw_extended,136,1G3,1,7/12/2017 19:29
32,160721_vw_extended,137,1H3,1,7/12/2017 19:41
33,160721_vw_extended,GOXQC4,1D10,1,7/12/2017 19:53
34,160721_vw_extended,138,1A4,1,7/12/2017 20:05
35,160721_vw_extended,139,1B4,1,7/12/2017 20:17
36,160721_vw_extended,140,1C4,1,7/12/2017 20:29
37,160721_vw_extended,141,1D4,1,7/12/2017 20:41
38,160721_vw_extended,142,1.00E+04,1,7/12/2017 20:53
39,160721_vw_extended,143,1F4,1,7/12/2017 21:05
40,160721_vw_extended,144,1G4,1,7/12/2017 21:17
41,160721_vw_extended,145,1H4,1,7/12/2017 21:29
42,160721_vw_extended,GOXQC5,1.00E+10,1,7/12/2017 21:41
43,160721_vw_extended,146,1A5,1,7/12/2017 21:53
44,160721_vw_extended,147,1B5,1,7/12/2017 22:05
45,160721_vw_extended,148,1C5,1,7/12/2017 22:17
46,160721_vw_extended,149,1D5,1,7/12/2017 22:29
47,160721_vw_extended,150,1.00E+05,1,7/12/2017 22:41
48,160721_vw_extended,151,1F5,1,7/12/2017 22:53
49,160721_vw_extended,152,1G5,1,7/12/2017 23:05
50,160721_vw_extended,2tAQC,1H5,1,7/12/2017 23:17
51,160721_vw_extended,GOXQC6,1F10,1,7/12/2017 23:29
52,160721_vw_extended,153,1A6,1,7/12/2017 23:41
53,160721_vw_extended,154,1B6,1,7/12/2017 23:53
54,160721_vw_extended,155,1C6,1,7/13/2017 0:05
55,160721_vw_extended,156,1D6,1,7/13/2017 0:17
56,160721_vw_extended,157,1.00E+06,1,7/13/2017 0:29
57,160721_vw_extended,158,1F6,1,7/13/2017 0:41
58,160721_vw_extended,159,1G6,1,7/13/2017 0:53
59,160721_vw_extended,160,1H6,1,7/13/2017 1:05
60,160721_vw_extended,GOXQC7,1G10,1,7/13/2017 1:17
61,160721_vw_extended,161,1A7,1,7/13/2017 1:29
62,160721_vw_extended,162,1B7,1,7/13/2017 1:41
63,160721_vw_extended,163,1C7,1,7/13/2017 1:53
64,160721_vw_extended,164,1D7,1,7/13/2017 2:05
65,160721_vw_extended,165,1.00E+07,1,7/13/2017 2:17
66,160721_vw_extended,166,1F7,1,7/13/2017 2:29
67,160721_vw_extended,167,1G7,1,7/13/2017 2:41
68,160721_vw_extended,168,1H7,1,7/13/2017 2:53
69,160721_vw_extended,GOXQC8,1H10,1,7/13/2017 3:05
70,160721_vw_extended,169,1A8,1,7/13/2017 3:17
71,160721_vw_extended,170,1B8,1,7/13/2017 3:29
72,160721_vw_extended,171,1C8,1,7/13/2017 3:41
73,160721_vw_extended,3tAQC,1D8,1,7/13/2017 3:53
74,160721_vw_extended,GOXQC9,1A11,1,7/13/2017 4:05
75,160721_vw_extended,GOXst1,1.00E+12,1,7/13/2017 4:17
76,160721_vw_extended,GOXst2,1F12,1,7/13/2017 4:29
77,160721_vw_extended,GOXst3,1G12,1,7/13/2017 4:41
78,160721_vw_extended,GOXst4,1H12,1,7/13/2017 4:53
